Title,type,directors,duration,douban_score
海街日记 海街diary,剧情,是枝裕和,片长:,8.8
这个杀手不太冷 Léon,剧情,吕克·贝松,110分钟(剧场版),9.4
千与千寻 千と千尋の神隠し,剧情,宫崎骏,2001-07-20(日本),9.4
美丽人生 La vita è bella,剧情,罗伯托·贝尼尼,1997-12-20(意大利),9.5
忠犬八公的故事 Hachi: A Dog's Tale,剧情,拉斯·霍尔斯道姆,又名:,9.4
盗梦空间 Inception,剧情,克里斯托弗·诺兰,2020-08-28(中国大陆重映),9.4
海上钢琴师 La leggenda del pianista sull'oceano,剧情,朱塞佩·托纳多雷,165分钟,9.3
楚门的世界 The Truman Show,剧情,彼得·威尔,又名:,9.4
星际穿越 Interstellar,剧情,克里斯托弗·诺兰,2014-11-07(美国),9.4
辛德勒的名单 Schindler's List,剧情,史蒂文·斯皮尔伯格,片长:,9.5
三傻大闹宝莱坞 3 Idiots,剧情,拉吉库马尔·希拉尼,2009-12-25(印度),9.2
放牛班的春天 Les choristes,剧情,克里斯托夫·巴哈蒂,片长:,9.3
大话西游之大圣娶亲 西遊記大結局之仙履奇緣,喜剧,刘镇伟,2017-04-13(中国大陆重映),9.2
机器人总动员 WALL·E,科幻,安德鲁·斯坦顿,片长:,9.3
无间道 無間道,剧情,刘伟强,片长:,9.3
疯狂动物城 Zootopia,喜剧,拜伦·霍华德,片长:,9.2
熔炉 도가니,剧情,黄东赫,IMDb:,9.4
控方证人 Witness for the Prosecution,剧情,比利·怀尔德,116分钟,9.6
教父 The Godfather,剧情,弗朗西斯·福特·科波拉,175 分钟,9.3
触不可及 Intouchables,剧情,奥利维埃·纳卡什,又名:,9.3
时空恋旅人 About Time,喜剧,理查德·柯蒂斯,123分钟,8.8
侧耳倾听 耳をすませば,剧情,近藤喜文,111分钟,8.9
当幸福来敲门 The Pursuit of Happyness,剧情,加布里埃莱·穆奇诺,2006-12-15(美国),9.2
驯龙高手 How to Train Your Dragon,动画,迪恩·德布洛斯,2010-03-18(俄罗斯),8.8
寻梦环游记 Coco,喜剧,李·昂克里奇,2020-07-20(中国大陆重映),9.1
哈利·波特与火焰杯 Harry Potter and the Goblet of Fire,悬疑,迈克·内威尔,2005-11-06(英国),8.8
幸福终点站 The Terminal,剧情,史蒂文·斯皮尔伯格,片长:,8.8
未麻的部屋 Perfect Blue,动画,今敏,片长:,9.1
小森林 冬春篇 リトル・フォレスト 冬・春,剧情,森淳一,IMDb:,9.0
一个叫欧维的男人决定去死 En man som heter Ove,剧情,汉内斯·赫尔姆,又名:,8.9
教父3 The Godfather: Part III,剧情,弗朗西斯·福特·科波拉,又名:,9.0
玩具总动员3 Toy Story 3,喜剧,李·昂克里奇,2010-06-16(中国大陆),8.9
新世界 신세계,剧情,朴勋政,134分钟,8.9
傲慢与偏见 Pride & Prejudice,剧情,乔·赖特,又名:,8.7
萤火之森 蛍火の杜へ,剧情,大森贵弘,2011-09-17(日本),8.9
釜山行 부산행,动作,延尚昊,片长:,8.6
"怪兽电力公司 Monsters, Inc.",喜剧,彼特·道格特,上映日期:,8.8
茶馆,剧情,谢添,又名:,9.6
哪吒闹海,动画,王树忱,65分钟,9.2
玛丽和马克思 Mary and Max,剧情,亚当·艾略特,片长:,9.0
告白,剧情,中岛哲也,106分钟,8.8
被解救的姜戈 Django Unchained,剧情,昆汀·塔伦蒂诺,2013-05-12(中国大陆),8.8
色，戒,剧情,李安,2007-09-26(中国香港),8.7
神偷奶爸 Despicable Me,喜剧,皮埃尔·柯芬,2010-07-09(美国),8.7
大鱼 Big Fish,剧情,蒂姆·波顿,2004-01-09(美国),8.8
九品芝麻官,剧情,王晶,108分钟,8.7
喜宴 囍宴,剧情,李安,1993-02(柏林电影节),9.0
可可西里,剧情,陆川,85分钟(中国大陆),8.9
源代码 Source Code,科幻,邓肯·琼斯,2011-04-01(美国),8.5
你看起来好像很好吃 おまえうまそうだな,剧情,藤森雅也,90分钟,8.9
黑天鹅 Black Swan,剧情,达伦·阿伦诺夫斯基,108分钟,8.6
真爱至上 Love Actually,剧情,理查德·柯蒂斯,2003-11-06(美国),8.5
城市之光 City Lights,剧情,查理·卓别林,1931-03-07(美国),9.3
初恋这件小事 สิ่งเล็กเล็กที่เรียกว่า...รัก,剧情,普特鹏·普罗萨卡·那·萨克那卡林,2010-08-12(泰国),8.5
青蛇,剧情,徐克,片长:,8.6
末路狂花 Thelma & Louise,剧情,雷德利·斯科特,片长:,8.9
雨人 Rain Man,剧情,巴瑞·莱文森,IMDb:,8.7
海边的曼彻斯特 Manchester by the Sea,剧情,肯尼思·洛纳根,片长:,8.6
恋恋笔记本 The Notebook,剧情,尼克·卡萨维蒂,又名:,8.5
人工智能 A.I. Artificial Intelligence,剧情,史蒂文·斯皮尔伯格,146分钟,8.7
波西米亚狂想曲 Bohemian Rhapsody,剧情,布莱恩·辛格,2018-11-02(美国),8.6
虎口脱险 La grande vadrouille,喜剧,热拉尔·乌里,又名:,8.9
新龙门客栈 新龍門客棧,动作,李惠民,1992-08-27(中国香港),8.7
罗生门 羅生門,剧情,黑泽明,88分钟,8.8
芙蓉镇,剧情,谢晋,又名:,9.3
终结者2：审判日 Terminator 2: Judgment Day,动作,詹姆斯·卡梅隆,137分钟,8.8
无耻混蛋 Inglourious Basterds,剧情,昆汀·塔伦蒂诺,153分钟,8.7
千钧一发 Gattaca,剧情,安德鲁·尼科尔,106分钟,8.8
崖上的波妞 崖の上のポニョ,动画,宫崎骏,片长:,8.6
彗星来的那一夜 Coherence,科幻,詹姆斯·沃德·布柯特,片长:,8.6
疯狂的麦克斯4：狂暴之路 Mad Max: Fury Road,动作,乔治·米勒,2015-05-15(美国),8.7
花束般的恋爱 花束みたいな恋をした,剧情,土井裕泰,片长:,8.6
爱乐之城 La La Land,剧情,达米恩·查泽雷,2016-08-31(威尼斯电影节),8.4
黑客帝国2：重装上阵 The Matrix Reloaded,动作,拉娜·沃卓斯基,片长:,8.7
萤火虫之墓 火垂るの墓,剧情,高畑勋,89 分钟,8.7
哈利·波特与死亡圣器(上) Harry Potter and the Deathly Hallows: Part 1,奇幻,大卫·叶茨,又名:,8.5
奇迹男孩 Wonder,剧情,斯蒂芬·卓博斯基,2017-11-17(美国),8.6
血钻 Blood Diamond,剧情,爱德华·兹威克,143 分钟,8.7
二十二,语言:,郭柯,IMDb:,8.7
战争之王 Lord of War,剧情,安德鲁·尼科尔,又名:,8.7
步履不停 歩いても 歩いても,剧情,是枝裕和,又名:,8.8
房间 Room,剧情,伦尼·阿伯拉罕森,2016-01-22(美国),8.8
火星救援 The Martian,剧情,雷德利·斯科特,片长:,8.5
魂断蓝桥 Waterloo Bridge,剧情,茂文·勒鲁瓦,108分钟,8.8
白日梦想家 The Secret Life of Walter Mitty,剧情,本·斯蒂勒,114分钟,8.6
千年女优 千年女優,剧情,今敏,片长:,8.8
哈利·波特与凤凰社 Harry Potter and the Order of the Phoenix,奇幻,大卫·叶茨,片长:,8.5
谍影重重2 The Bourne Supremacy,动作,保罗·格林格拉斯,2004-07-15(洛杉矶首映),8.7
高山下的花环,剧情,谢晋,146分钟,9.5
弱点 The Blind Side,剧情,约翰·李·汉考克,片长:,8.7
朗读者 The Reader,剧情,史蒂芬·戴德利,片长:,8.6
阿飞正传 阿飛正傳,剧情,王家卫,片长:,8.5
蜘蛛侠：平行宇宙 Spider-Man: Into the Spider-Verse,动作,鲍勃·佩尔西凯蒂,2018-12-14(美国),8.6
谍影重重 The Bourne Identity,动作,道格·里曼,2002-06-14(美国),8.6
大红灯笼高高挂,剧情,张艺谋,IMDb:,8.8
再次出发之纽约遇见你 Begin Again,喜剧,约翰·卡尼,2014-07-11(美国),8.6
燃情岁月 Legends of the Fall,剧情,爱德华·兹威克,片长:,8.7
